Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Menu Bawah/Menu - Akun""), 10)",,,,2019-09-02 20:27:14,2019-09-02 20:27:16,"2,344s",PASSED
takeScreenshot(),,,,2019-09-02 20:27:16,2019-09-02 20:27:17,"1,332s",PASSED
"setText(findTestObject(""Object Repository/LOGIN/android.widget.EditText0 - Username or email address""), email_dev, 10)",,,,2019-09-02 20:27:17,2019-09-02 20:27:19,"1,896s",PASSED
"setText(findTestObject(""Object Repository/LOGIN/android.widget.EditText1 - Password""), pass_dev, 10)",,,,2019-09-02 20:27:19,2019-09-02 20:27:21,"2,244s",PASSED
takeScreenshot(),,,,2019-09-02 20:27:21,2019-09-02 20:27:23,"1,282s",PASSED
"tap(findTestObject(""Object Repository/LOGIN/Login Button""), 10)",,,,2019-09-02 20:27:23,2019-09-02 20:27:24,"1,696s",PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/LOGIN/Assert/Profil Saya""), ""text"", ""Profil Saya"", 10)",,,,2019-09-02 20:27:24,2019-09-02 20:27:25,"0,210s",PASSED
takeScreenshot(),,,,2019-09-02 20:27:25,2019-09-02 20:27:26,"1,147s",PASSED
closeApplication(),,,,2019-09-02 20:27:26,2019-09-02 20:27:26,"0,582s",PASSED
,,,,,,,
Test Cases/Log out,,,,2019-09-02 20:27:26,2019-09-02 20:28:25,"58,454s",PASSED
"startApplication(ApkFile, false)",,,,2019-09-02 20:27:27,2019-09-02 20:28:15,"48,031s",PASSED
delay(3),,,,2019-09-02 20:28:15,2019-09-02 20:28:18,"3,009s",PASSED
"waitForElementAttributeValue(findTestObject(""Menu Bawah/Menu - Akun""), ""text"", ""Akun"", 10)",,,,2019-09-02 20:28:18,2019-09-02 20:28:19,"1,236s",PASSED
"tap(findTestObject(""Menu Bawah/Menu - Akun""), 10)",,,,2019-09-02 20:28:19,2019-09-02 20:28:21,"1,341s",PASSED
"waitForElementAttributeValue(findTestObject(""Halaman Akun/Log out Button""), ""text"", ""Logout"", 10)",,,,2019-09-02 20:28:21,2019-09-02 20:28:21,"0,412s",PASSED
"tap(findTestObject(""Object Repository/Halaman Akun/Log out Button""), 10)",,,,2019-09-02 20:28:21,2019-09-02 20:28:23,"2,240s",PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/LOGIN/android.widget.EditText0 - Username or email address""), ""text"", ""Username or email address"", 10)",,,,2019-09-02 20:28:23,2019-09-02 20:28:24,"0,905s",PASSED
closeApplication(),,,,2019-09-02 20:28:24,2019-09-02 20:28:25,"0,526s",PASSED
